tourney_date,tourney_name,surface,round,best_of,winner_name,loser_name,score
2021-08-30,Us Open,Hard,F,3,Emma Raducanu,Leylah Annie Fernandez,6-4 6-3
2021-08-30,Us Open,Hard,SF,3,Emma Raducanu,Maria Sakkari,6-1 6-4
2021-08-30,Us Open,Hard,SF,3,Leylah Annie Fernandez,Aryna Sabalenka,7-6(3) 4-6 6-4
2021-08-30,Us Open,Hard,QF,3,Emma Raducanu,Belinda Bencic,6-3 6-4
2021-08-30,Us Open,Hard,QF,3,Maria Sakkari,Karolina Pliskova,6-4 6-4
2021-08-30,Us Open,Hard,QF,3,Leylah Annie Fernandez,Elina Svitolina,6-3 3-6 7-6(5)
2021-08-30,Us Open,Hard,QF,3,Aryna Sabalenka,Barbora Krejcikova,6-1 6-4
2021-08-30,Us Open,Hard,R16,3,Emma Raducanu,Shelby Rogers,6-2 6-1
2021-08-30,Us Open,Hard,R16,3,Belinda Bencic,Iga Swiatek,7-6(12) 6-3
2021-08-30,Us Open,Hard,R16,3,Karolina Pliskova,Anastasia Pavlyuchenkova,7-5 6-4
2021-08-30,Us Open,Hard,R16,3,Maria Sakkari,Bianca Andreescu,6-7(2) 7-6(6) 6-3
2021-08-30,Us Open,Hard,R16,3,Elina Svitolina,Simona Halep,6-3 6-3
2021-08-30,Us Open,Hard,R16,3,Leylah Annie Fernandez,Angelique Kerber,4-6 7-6(5) 6-2
2021-08-30,Us Open,Hard,R16,3,Barbora Krejcikova,Garbine Muguruza,6-3 7-6(4)
2021-08-30,Us Open,Hard,R16,3,Aryna Sabalenka,Elise Mertens,6-4 6-1
2021-08-30,Us Open,Hard,R32,3,Shelby Rogers,Ashleigh Barty,6-2 1-6 7-6(5)
2021-08-30,Us Open,Hard,R32,3,Emma Raducanu,Sara Sorribes Tormo,6-0 6-1
2021-08-30,Us Open,Hard,R32,3,Belinda Bencic,Jessica Pegula,6-2 6-4
2021-08-30,Us Open,Hard,R32,3,Iga Swiatek,Anett Kontaveit,6-3 4-6 6-3
2021-08-30,Us Open,Hard,R32,3,Karolina Pliskova,Ajla Tomljanovic,6-3 6-2
2021-08-30,Us Open,Hard,R32,3,Maria Sakkari,Petra Kvitova,6-4 6-3
2021-08-30,Us Open,Hard,R32,3,Bianca Andreescu,Greetje Minnen,6-1 6-2
2021-08-30,Us Open,Hard,R32,3,Elina Svitolina,Darya Kasatkina,6-4 6-2
2021-08-30,Us Open,Hard,R32,3,Simona Halep,Elena Rybakina,7-6(11) 4-6 6-3
