Player,Rating,Deviation,Games,Win,Draw,Loss,Lag
Naomi Osaka,1967.4138799889745,72.85316927779292,234,155,0,79,2
Ashleigh Barty,1964.157883025336,73.18234599750755,240,171,0,69,1
Bianca Andreescu,1914.5863581883457,78.8168017148909,77,59,0,18,2
Serena Williams,1901.686567931518,71.47726799825429,701,598,0,103,7
Garbine Muguruza,1890.9141363596611,67.11153727521167,436,283,0,153,1
Aryna Sabalenka,1889.5268480915167,67.32852345703579,207,140,0,67,2
Simona Halep,1884.8042548155986,74.98255908422007,592,413,0,179,2
Elise Mertens,1853.8068893821496,68.29619367629665,255,166,0,89,1
Victoria Azarenka,1846.5776399859678,69.42982507432505,583,420,0,163,2
Elina Svitolina,1832.439371561789,69.14083051920635,469,306,0,163,0
Maria Sakkari,1817.1297447237737,67.95698170065614,218,114,0,104,2
Petra Kvitova,1813.0132879796124,70.35558966363872,654,449,0,205,1
Anett Kontaveit,1810.3739132861206,68.51206473177182,263,153,0,110,2
Iga Swiatek,1809.012483195614,71.32397869521597,65,43,0,22,2
Jessica Pegula,1805.7513730885125,67.84927653537132,91,50,0,41,2
Darya Kasatkina,1799.7980882020051,66.0385592369113,258,149,0,109,3
Karolina Muchova,1789.7717111526238,69.64905090707082,70,44,0,26,7
Ons Jabeur,1783.7195573801152,67.25202031780346,179,97,0,82,0
Jennifer Brady,1783.2518301610949,69.04311544623455,125,62,0,63,2
Barbora Krejcikova,1771.0660147950975,72.90705319169287,56,31,0,25,2
Danielle Rose Collins,1764.958483837927,71.3392733871291,106,57,0,49,2
Sofia Kenin,1761.1815418515828,72.11851142213527,160,101,0,59,1
Karolina Pliskova,1756.578124310951,70.64051473156273,501,330,0,171,2
Shelby Rogers,1754.9334859674086,71.4228159595859,166,79,0,87,0
Veronika Kudermetova,1753.7728309983052,67.37118118575859,111,63,0,48,1
Cori Gauff,1753.021616512088,69.90023223966918,53,33,0,20,1
Kaia Kanepi,1731.523086296055,75.52120564466163,363,205,0,158,2
Marketa Vondrousova,1728.5322112230103,70.54156828337685,118,70,0,48,2
Tsvetana Pironkova,1727.6725985241535,87.28783424609306,356,157,0,199,1
Jelena Ostapenko,1727.621673599038,70.36813898376722,269,149,0,120,0
Ekaterina Alexandrova,1727.46728221267,68.28347247536236,155,83,0,72,2
Sara Sorribes Tormo,1726.9196587382849,66.621566692896,156,72,0,84,1
Yulia Putintseva,1719.2812738871355,70.15710900909463,310,153,0,157,0
Elena Rybakina,1717.3865057279957,69.99612090450704,94,62,0,32,0
Kiki Bertens,1714.4916540497652,77.80690162711063,405,236,0,169,0
Leylah Annie Fernandez,1709.1311936671004,74.54742205651043,40,23,0,17,0
Amanda Anisimova,1707.7038060204811,74.2903113111886,82,48,0,34,1
Dayana Yastremska,1705.2126481191715,70.27195366740732,105,61,0,44,11
Paula Badosa,1704.8176126727437,71.56460715913386,57,28,0,29,1
Carla Suarez Navarro,1703.4813142621585,74.91740182736267,594,348,0,246,22
Danka Kovinic,1699.641205832201,73.84568935326197,163,73,0,90,0
Svetlana Kuznetsova,1697.4510284767157,71.56276516890799,645,405,0,240,2
Julia Goerges,1696.7674634760756,74.27562172309787,557,308,0,249,13
Belinda Bencic,1696.5656263752621,71.03214638111464,290,165,0,125,1
Su Wei Hsieh,1694.5762834278567,73.80742854349243,313,157,0,156,7
Jil Belen Teichmann,1691.254215099545,68.25576956089326,84,43,0,41,2
Marie Bouzkova,1689.8273966110432,71.58063894172354,64,31,0,33,1
Madison Keys,1688.8053550629963,77.23767755211227,345,213,0,132,1
Anastasia Pavlyuchenkova,1687.5402408079062,70.63631848865805,615,351,0,264,3
Fiona Ferro,1687.3841298974628,73.38524316354456,77,37,0,40,2
Johanna Konta,1684.4998219425634,74.53052261370775,306,184,0,122,2
Laura Siegemund,1679.0797351401463,71.55419318652287,176,87,0,89,2
Catherine Cartan Bellis,1678.8407857262448,84.00209907930352,78,41,0,37,13
Anastasija Sevastova,1674.6134026494742,70.29147867839478,363,204,0,159,0
Ana Konjuh,1671.29465186887,99.85367278450228,131,73,0,58,2
Viktorija Golubic,1670.7831884011275,75.68867194059581,119,55,0,64,3
Angelique Kerber,1666.2721738501489,73.98733083353513,660,422,0,238,2
Caroline Garcia,1666.1077681977033,70.07728687828838,421,234,0,187,2
Alize Cornet,1665.1061424772308,71.41349225364408,574,288,0,286,0
Alison Riske,1658.9929866177174,76.20034409849495,313,152,0,161,7
Donna Vekic,1658.8989505703257,70.40438576301912,294,147,0,147,7
Eugenie Bouchard,1657.5982556816598,74.68882812420591,303,161,0,142,3
Margarita Gasparyan,1657.0364469504404,74.44540615615647,105,50,0,55,3
Irina Camelia Begu,1654.0610741541623,74.9284911593126,372,186,0,186,2
Anastasia Potapova,1648.9759231463906,74.49386138390153,68,35,0,33,1
Andrea Petkovic,1648.4466203596364,79.77536456840458,479,270,0,209,2
Vera Zvonareva,1648.0018698505544,76.56868223403274,367,234,0,133,3
Zarina Diyas,1645.2244091589564,73.53911338047172,223,105,0,118,1
Aliaksandra Sasnovich,1643.1893834681318,70.20420719929614,205,101,0,104,3
Katie Boulter,1642.1915543569203,86.26149867434303,39,19,0,20,0
Petra Martic,1640.344725669014,71.4501855470141,292,148,0,144,2
Sorana Cirstea,1640.2909439177804,73.51704918978541,450,217,0,233,2
Camila Giorgi,1638.9623526190255,72.96505814811314,305,159,0,146,2
Kim Clijsters,1637.1925768652777,142.2317881608117,275,217,0,58,17
Kristina Mladenovic,1636.774278693044,70.3861922671238,421,206,0,215,1
Shuai Zhang,1636.1026499605491,75.13437898715087,346,159,0,187,1
Anna Karolina Schmiedlova,1635.9823810220312,74.56710343085143,198,88,0,110,1
Saisai Zheng,1627.90983188263,73.38876180083328,210,89,0,121,1
Patricia Maria Tig,1626.4949467014546,75.70918161489386,75,37,0,38,5
Venus Williams,1625.1587896680435,78.25003855589523,623,455,0,168,2
Alison Van Uytvanck,1623.9680987080621,72.2297873993072,231,107,0,124,7
Daria Gavrilova,1622.1236288732155,85.69310487498309,245,125,0,120,7
Astra Sharma,1620.594596228706,80.21502401885509,37,17,0,20,0
Taylor Townsend,1619.933424122286,89.05585750335473,72,29,0,43,17
Qiang Wang,1619.0444375400527,73.37041327958153,236,127,0,109,2
Magda Linette,1618.6522052312298,75.15868052143017,216,102,0,114,0
Ajla Tomljanovic,1610.226942714023,71.55597881090767,253,113,0,140,0
