Player,Rating,Deviation,Games,Win,Draw,Loss,Lag
Ashleigh Barty,1962.2562527515358,74.47627030635397,271,197,0,74,0
Barbora Krejcikova,1888.1669784464877,69.68871248052088,95,63,0,32,0
Aryna Sabalenka,1880.3471330847212,68.16854182294331,246,169,0,77,0
Emma Raducanu,1869.5280505226403,105.78217314641189,13,10,0,3,0
Karolina Pliskova,1844.4617856032075,65.70995533147698,539,357,0,182,0
Maria Sakkari,1839.379410576763,67.63060371591268,246,133,0,113,0
Simona Halep,1839.1134145359058,74.73599201673059,607,421,0,186,0
Elina Svitolina,1836.6038179635948,66.58656759234172,506,331,0,175,0
Naomi Osaka,1835.6629464770265,77.9711925149956,247,162,0,85,0
Garbine Muguruza,1834.9459734390746,69.56650467183431,460,298,0,162,0
Ons Jabeur,1834.7442402877232,67.18959938889319,211,119,0,92,0
Angelique Kerber,1832.5313444909589,68.64346295769117,700,452,0,248,0
Iga Swiatek,1832.477382790406,71.62021200692483,92,63,0,29,0
Victoria Azarenka,1823.9139183107159,70.52565640576157,615,442,0,173,0
Cori Gauff,1817.3452951917102,69.92241201790111,83,55,0,28,0
Belinda Bencic,1810.5213141396175,67.30536834854,322,188,0,134,0
Jessica Pegula,1810.1996888369124,67.78147741621328,121,69,0,52,0
Serena Williams,1809.3254829210898,77.57735924043185,722,613,0,109,8
Anett Kontaveit,1808.0564522815075,68.49033539583907,288,169,0,119,0
Danielle Rose Collins,1805.021399300914,68.49356446675738,134,78,0,56,0
Paula Badosa,1793.6774606426222,68.80280997949465,89,52,0,37,0
Darya Kasatkina,1781.1855818794272,66.69574202766134,295,172,0,123,0
Anastasia Pavlyuchenkova,1780.3374055263541,69.35749552977954,644,371,0,273,0
Elise Mertens,1772.9312078457738,69.22759048620642,284,183,0,101,0
Camila Giorgi,1772.0818532922603,68.33363487426409,332,176,0,156,0
Karolina Muchova,1770.0264974650595,71.98839467804974,89,55,0,34,0
Jelena Ostapenko,1766.1402263458353,68.2610765729317,294,164,0,130,2
Sara Sorribes Tormo,1765.1341000021018,68.08036687370247,182,88,0,94,0
Elena Rybakina,1764.0177588431695,67.1743695866277,126,83,0,43,0
Petra Kvitova,1762.5648879971611,69.39851637984033,692,474,0,218,0
Bianca Andreescu,1757.962213206313,76.69200619695495,92,66,0,26,0
Jennifer Brady,1752.23406123496,73.2491757798863,137,68,0,69,2
Leylah Annie Fernandez,1745.8763986884742,71.4334639521873,58,33,0,25,0
Katerina Siniakova,1744.3476773017344,69.54940989566971,281,133,0,148,0
Sofia Kenin,1733.2906658566117,74.21721595981381,168,105,0,63,8
Marketa Vondrousova,1729.7879816699262,69.63985402614698,142,83,0,59,0
Johanna Konta,1716.0531879006503,74.38039018871005,323,195,0,128,2
Andrea Petkovic,1714.6158612218787,73.78412941290352,500,282,0,218,0
Jule Niemeier,1709.8843646167331,117.65439677426826,10,6,0,4,7
Ludmilla Samsonova,1708.3285953108914,74.32461554094897,49,23,0,26,0
Veronika Kudermetova,1706.9223214152414,70.73233009522076,133,74,0,59,0
Sloane Stephens,1706.494730177348,70.64929545809285,420,244,0,176,0
Shelby Rogers,1702.6229285976672,70.63201711502126,186,87,0,99,0
Jil Belen Teichmann,1696.4171888488643,71.83234965932098,103,52,0,51,0
Ekaterina Alexandrova,1693.8528612432785,70.78486181621898,178,95,0,83,0
Ana Konjuh,1686.7009652200898,77.36492255884525,152,85,0,67,0
Yulia Putintseva,1685.9923459530478,68.94293118918442,334,165,0,169,0
Magda Linette,1683.5438996262378,71.10061538627562,240,114,0,126,0
Tsvetana Pironkova,1682.1578932107982,92.51671403062171,363,159,0,204,0
Sorana Cirstea,1682.0580150714118,71.15326803741365,478,233,0,245,0
Elena Gabriela Ruse,1680.3564519300655,89.25431095158042,29,14,0,15,0
Alize Cornet,1680.3469083816672,70.92093013294112,601,302,0,299,0
Amanda Anisimova,1680.27731295323,72.05493262960975,100,56,0,44,0
Kaia Kanepi,1679.477980141237,77.21064262123741,376,210,0,166,0
Carla Suarez Navarro,1679.009866152915,88.91780460466745,605,352,0,253,0
Viktorija Golubic,1676.4606365053921,71.82522970805232,140,65,0,75,0
Elena Vesnina,1675.2491522314815,95.6430673701544,427,222,0,205,5
Qiang Wang,1675.0349896376276,73.89138100495725,250,134,0,116,5
Ann Li,1668.289526435393,91.23636363898714,25,14,0,11,0
Irina Camelia Begu,1667.8123340370416,73.39442643479511,388,193,0,195,0
Anastasija Sevastova,1667.7262492896132,72.26967532985732,379,211,0,168,0
Marta Kostyuk,1665.5327270767498,76.10537741654544,52,26,0,26,0
Tamara Zidansek,1664.3226980152135,72.4546675013437,113,59,0,54,0
Vera Zvonareva,1663.5317681434894,79.30562101942725,387,245,0,142,0
Donna Vekic,1662.5255964423109,73.76890427002665,309,154,0,155,0
Fiona Ferro,1659.0730433514198,71.73760974697989,96,46,0,50,0
Ajla Tomljanovic,1658.957748176737,71.31075234480464,275,125,0,150,0
Eugenie Bouchard,1657.809342067155,74.68751954412242,305,162,0,143,21
Maryna Zanevska,1656.918285987015,100.2188704395616,42,14,0,28,5
Maria Camila Osorio Serrano,1656.4465608946227,80.02591687116897,40,25,0,15,0
Katie Boulter,1651.719634138535,85.48552856905818,46,23,0,23,0
Madison Keys,1650.7080578023001,74.5487801654399,368,225,0,143,0
Svetlana Kuznetsova,1650.0056660299645,77.21029616736764,656,410,0,246,8
Margarita Gasparyan,1649.170921494562,79.21952363734837,106,50,0,56,12
Nadia Podoroska,1646.0125647469022,71.24430916118929,70,38,0,32,0
Anastasia Potapova,1645.5729911607498,77.02048501974913,78,39,0,39,0
Dayana Yastremska,1642.7598563580227,78.36586507864943,114,64,0,50,0
Tereza Martincova,1638.9244512969735,72.10342000287763,93,39,0,54,0
Caroline Garcia,1637.5917332999718,69.37224570600218,450,248,0,202,0
